name,topic,difficulty,link
Two Sum,Arrays & Hashing,Easy,https://leetcode.com/problems/two-sum/
Contains Duplicate,Arrays & Hashing,Easy,https://leetcode.com/problems/contains-duplicate/
Valid Anagram,Arrays & Hashing,Easy,https://leetcode.com/problems/valid-anagram/
Group Anagrams,Arrays & Hashing,Medium,https://leetcode.com/problems/group-anagrams/
Top K Frequent Elements,Arrays & Hashing,Medium,https://leetcode.com/problems/top-k-frequent-elements/
Product of Array Except Self,Arrays & Hashing,Medium,https://leetcode.com/problems/product-of-array-except-self/
Longest Consecutive Sequence,Arrays & Hashing,Medium,https://leetcode.com/problems/longest-consecutive-sequence/
Encode and Decode Strings,Arrays & Hashing,Medium,https://practice.geeksforgeeks.org/problems/encode-and-decode-strings/1
Subarray Sum Equals K,Arrays & Hashing,Medium,https://leetcode.com/problems/subarray-sum-equals-k/
Valid Palindrome,Two Pointers,Easy,https://leetcode.com/problems/valid-palindrome/
3Sum,Two Pointers,Medium,https://leetcode.com/problems/3sum/
Container With Most Water,Two Pointers,Medium,https://leetcode.com/problems/container-with-most-water/
Best Time to Buy and Sell Stock,Sliding Window,Easy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
Longest Substring Without Repeating Characters,Sliding Window,Medium,https://leetcode.com/problems/longest-substring-without-repeating-characters/
Longest Repeating Character Replacement,Sliding Window,Medium,https://leetcode.com/problems/longest-repeating-character-replacement/
Minimum Window Substring,Sliding Window,Hard,https://leetcode.com/problems/minimum-window-substring/
Valid Parentheses,Stack & Queue,Easy,https://leetcode.com/problems/valid-parentheses/
Find Minimum in Rotated Sorted Array,Binary Search,Medium,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
Search in Rotated Sorted Array,Binary Search,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array/
Reverse Linked List,Linked List,Easy,https://leetcode.com/problems/reverse-linked-list/
Merge Two Sorted Lists,Linked List,Easy,https://leetcode.com/problems/merge-two-sorted-lists/
Reorder List,Linked List,Medium,https://leetcode.com/problems/reorder-list/
Remove Nth Node From End of List,Linked List,Medium,https://leetcode.com/problems/remove-nth-node-from-end-of-list/
Linked List Cycle,Linked List,Easy,https://leetcode.com/problems/linked-list-cycle/
Merge k Sorted Lists,Linked List,Hard,https://leetcode.com/problems/merge-k-sorted-lists/
Invert Binary Tree,Trees,Easy,https://leetcode.com/problems/invert-binary-tree/
Maximum Depth of Binary Tree,Trees,Easy,https://leetcode.com/problems/maximum-depth-of-binary-tree/
Same Tree,Trees,Easy,https://leetcode.com/problems/same-tree/
Subtree of Another Tree,Trees,Easy,https://leetcode.com/problems/subtree-of-another-tree/
Lowest Common Ancestor of a BST,Trees,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/
Binary Tree Level Order Traversal,Trees,Medium,https://leetcode.com/problems/binary-tree-level-order-traversal/
Validate Binary Search Tree,Trees,Medium,https://leetcode.com/problems/validate-binary-search-tree/
Kth Smallest Element in a BST,Trees,Medium,https://leetcode.com/problems/kth-smallest-element-in-a-bst/
Construct Binary Tree from Preorder and Inorder Traversal,Trees,Medium,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/
Binary Tree Maximum Path Sum,Trees,Hard,https://leetcode.com/problems/binary-tree-maximum-path-sum/
