name,topic,difficulty,link
Selection Sort,Sorting,Easy,https://practice.geeksforgeeks.org/problems/selection-sort/1
Bubble Sort,Sorting,Easy,https://practice.geeksforgeeks.org/problems/bubble-sort/1
Insertion Sort,Sorting,Easy,https://practice.geeksforgeeks.org/problems/insertion-sort/1
Merge Sort,Sorting,Medium,https://practice.geeksforgeeks.org/problems/merge-sort/1
Recursive Bubble Sort,Sorting,Easy,https://practice.geeksforgeeks.org/problems/bubble-sort/1
Recursive Insertion Sort,Sorting,Easy,https://practice.geeksforgeeks.org/problems/insertion-sort/1
Quick Sort,Sorting,Medium,https://practice.geeksforgeeks.org/problems/quick-sort/1
Largest Element in an Array,Arrays,Easy,https://leetcode.com/problems/largest-number-at-least-twice-of-others/
Second Largest Element in an Array without sorting,Arrays,Easy,https://practice.geeksforgeeks.org/problems/second-largest3735/1
Check if the array is sorted,Arrays,Easy,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/
Linear Search,Arrays,Easy,https://practice.geeksforgeeks.org/problems/who-will-win-1587115621/1
Remove duplicates from Sorted array,Arrays,Easy,https://leetcode.com/problems/remove-duplicates-from-sorted-array/
Move Zeros to end,Arrays,Easy,https://leetcode.com/problems/move-zeroes/
Left Rotate an array by one place,Arrays,Easy,https://leetcode.com/problems/rotate-array/
Left rotate an array by D places,Arrays,Easy,https://leetcode.com/problems/rotate-array/
Leaders in an Array problem,Arrays,Easy,https://practice.geeksforgeeks.org/problems/leaders-in-an-array-1587115620/1
Sort an array of 0's 1's and 2's,Arrays,Medium,https://leetcode.com/problems/sort-colors/
Rearrange the array in alternating positive and negative items,Arrays,Medium,https://leetcode.com/problems/rearrange-array-elements-by-sign/
Next Permutation,Arrays,Medium,https://leetcode.com/problems/next-permutation/
Find the Union,Arrays,Easy,https://practice.geeksforgeeks.org/problems/union-of-two-sorted-arrays-1587115621/1
Find missing number in an array,Arrays,Easy,https://leetcode.com/problems/missing-number/
Max Consecutive Ones,Arrays,Easy,https://leetcode.com/problems/max-consecutive-ones/
"Find the number that appears once, and other numbers twice.",Arrays,Easy,https://leetcode.com/problems/single-number/
Longest Consecutive Sequence in an Array,Arrays,Medium,https://leetcode.com/problems/longest-consecutive-sequence/
Find the repeating and missing number,Arrays,Hard,https://practice.geeksforgeeks.org/problems/find-missing-and-repeating2512/1
2Sum Problem,Arrays,Easy,https://leetcode.com/problems/two-sum/
3-Sum Problem,Arrays,Medium,https://leetcode.com/problems/3sum/
4-Sum Problem,Arrays,Medium,https://leetcode.com/problems/4sum/
Longest subarray with given sum K (positives),Arrays,Medium,https://practice.geeksforgeeks.org/problems/longest-sub-array-with-sum-k0809/1
Longest subarray with sum K (Positives + Negatives),Arrays,Medium,https://practice.geeksforgeeks.org/problems/longest-sub-array-with-sum-k0809/1
Largest Subarray with 0 Sum,Arrays,Medium,https://practice.geeksforgeeks.org/problems/largest-subarray-with-0-sum/1
Count subarrays with given sum,Arrays,Medium,https://leetcode.com/problems/subarray-sum-equals-k/
Count number of subarrays with given xor K,Arrays,Medium,https://www.interviewbit.com/problems/subarray-with-given-xor/
"Kadane's Algorithm, maximum subarray sum",Arrays,Medium,https://leetcode.com/problems/maximum-subarray/
Print subarray with maximum subarray sum,Arrays,Medium,https://leetcode.com/problems/maximum-subarray/
Maximum Product Subarray,Arrays,Medium,https://leetcode.com/problems/maximum-product-subarray/
Stock Buy and Sell,Arrays,Easy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
Majority Element (n2 times),Arrays,Easy,https://leetcode.com/problems/majority-element/
Majority Element (n3 times),Arrays,Medium,https://leetcode.com/problems/majority-element-ii/
Merge two sorted arrays without extra space,Arrays,Medium,https://leetcode.com/problems/merge-sorted-array/
Merge Overlapping Subintervals,Arrays,Medium,https://leetcode.com/problems/merge-intervals/
Count Inversions,Arrays,Hard,https://practice.geeksforgeeks.org/problems/inversion-of-array-1587115620/1
Reverse Pairs,Arrays,Hard,https://leetcode.com/problems/reverse-pairs/
Set Matrix Zeros,Arrays,Medium,https://leetcode.com/problems/set-matrix-zeroes/
Rotate Matrix by 90 degrees,Arrays,Medium,https://leetcode.com/problems/rotate-image/
Print the matrix in spiral manner,Arrays,Medium,https://leetcode.com/problems/spiral-matrix/
Pascal's Triangle,Arrays,Easy,https://leetcode.com/problems/pascals-triangle/
Binary Search to find X in sorted array,Binary Search,Easy,https://leetcode.com/problems/binary-search/
Implement Lower Bound,Binary Search,Easy,https://practice.geeksforgeeks.org/problems/floor-in-a-sorted-array-1587115620/1
Implement Upper Bound,Binary Search,Easy,https://practice.geeksforgeeks.org/problems/ceil-in-a-sorted-array/1
Search Insert Position,Binary Search,Easy,https://leetcode.com/problems/search-insert-position/
Floor & Ceil in Sorted Array,Binary Search,Easy,https://practice.geeksforgeeks.org/problems/ceil-the-floor2802/1
Find the first or last occurrence of a given number in a sorted array,Binary Search,Easy,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
Count occurrences of a number in a sorted array with duplicates,Binary Search,Easy,https://practice.geeksforgeeks.org/problems/number-of-occurrence2259/1
Search in Rotated Sorted Array I,Binary Search,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array/
Search in Rotated Sorted Array II,Binary Search,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/
Find minimum in Rotated Sorted Array,Binary Search,Medium,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
Find out how many times has an array been rotated,Binary Search,Easy,https://practice.geeksforgeeks.org/problems/rotation4708/1
Single element in a Sorted Array,Binary Search,Medium,https://leetcode.com/problems/single-element-in-a-sorted-array/
Find peak element,Binary Search,Medium,https://leetcode.com/problems/find-peak-element/
